,nuevosCasos,Semana,Anho,Fecha,Temperatura,Humedad
0,0,1,2015,2015-01-04,22.106585587678385,79.29252938029151
1,0,2,2015,2015-01-11,22.099501117928785,83.22816739696769
2,0,3,2015,2015-01-18,23.025592078242397,77.82034332514729
3,0,4,2015,2015-01-25,22.933088185633085,76.93934866258054
4,0,5,2015,2015-02-01,23.695014719450636,79.51550195219355
5,0,6,2015,2015-02-08,24.358948407822165,80.30913639280729
6,0,7,2015,2015-02-15,25.305053233575897,76.89075506050769
7,0,8,2015,2015-02-22,25.57038686371649,72.75797142696534
8,0,9,2015,2015-03-01,25.195263165595374,72.33286169719551
9,0,10,2015,2015-03-08,24.233289028026977,75.34804549163208
10,0,11,2015,2015-03-15,24.66240568517551,78.9920759374543
11,2,12,2015,2015-03-22,26.623858214796662,64.76918448668387
12,0,13,2015,2015-03-29,26.099479481983018,68.96612393287435
13,0,14,2015,2015-04-05,24.066686940614467,72.33485708407166
14,0,15,2015,2015-04-12,24.272188106044325,70.79255388928513
15,0,16,2015,2015-04-19,23.883205322702374,74.68479733352899
16,0,17,2015,2015-04-26,22.507904423366504,78.88772549818636
17,0,18,2015,2015-05-03,23.024510447123646,79.09145980786892
18,0,19,2015,2015-05-10,23.028687332328712,77.92539851965978
19,0,20,2015,2015-05-17,22.227906310338177,77.54524535279836
20,1,21,2015,2015-05-24,22.07198403955008,79.67973895738827
21,0,22,2015,2015-05-31,21.287625511748157,82.30009911513694
22,0,23,2015,2015-06-07,21.089006685099353,86.87536805025427
23,1,24,2015,2015-06-14,21.599295901902074,86.11799697826912
24,1,25,2015,2015-06-21,20.97215871425737,85.85020238788418
25,0,26,2015,2015-06-28,21.20675567703332,87.6510922767928
26,0,27,2015,2015-07-05,21.564549474822424,82.90288245605085
27,0,28,2015,2015-07-12,20.41839111485522,85.019949180651
28,0,29,2015,2015-07-19,19.41813866989835,81.8822988906974
29,3,30,2015,2015-07-26,19.459726892459848,86.35816652211314
30,0,31,2015,2015-08-02,19.095148539725205,85.83413352003093
31,0,32,2015,2015-08-09,19.204424046216378,81.56188894811775
32,0,33,2015,2015-08-16,19.038062676194308,78.07571288608983
33,1,34,2015,2015-08-23,19.31326490988848,82.04903529278363
34,0,35,2015,2015-08-30,20.09330231676775,83.53482631129145
35,0,36,2015,2015-09-06,21.056370900611025,83.88262690335445
36,0,37,2015,2015-09-13,20.296210938263602,78.72781813710326
37,0,38,2015,2015-09-20,20.42302130850996,78.55633558509355
38,0,39,2015,2015-09-27,19.64454209574302,81.90885662403366
39,0,40,2015,2015-10-04,20.17970833044995,77.51257684053179
40,0,41,2015,2015-10-11,20.244374354485387,79.52699846268249
41,0,42,2015,2015-10-18,20.341024000385637,77.01771961209936
42,0,43,2015,2015-10-25,21.292549239840664,79.61561262501667
43,0,44,2015,2015-11-01,21.369836848950907,78.82313198310645
44,0,45,2015,2015-11-08,19.92165237523749,80.09492819156355
45,0,46,2015,2015-11-15,20.78070300867596,78.90041267713436
46,0,47,2015,2015-11-22,21.510673713819884,75.77261068539967
47,0,48,2015,2015-11-29,21.99817397294368,80.23661918678145
48,0,49,2015,2015-12-06,21.813102629799385,76.70017480500577
49,0,50,2015,2015-12-13,22.236926842850146,78.41330318637722
50,0,51,2015,2015-12-20,22.643165821423796,79.18439394638706
51,0,52,2015,2015-12-27,23.798082980335483,77.72022474887301
52,0,1,2016,2016-01-10,24.1491747075,77.29862882732142
53,0,2,2016,2016-01-17,23.428427616428564,80.12166149785716
54,0,3,2016,2016-01-24,24.105636242142857,77.44335435071426
55,1,4,2016,2016-01-31,25.40890783142857,71.50456604482143
56,0,5,2016,2016-02-07,25.66682920625001,73.09799239946432
57,1,6,2016,2016-02-14,24.980131734107157,78.69233581410712
58,1,7,2016,2016-02-21,25.706668465892854,78.05926437660716
59,1,8,2016,2016-02-28,27.002506081785718,68.46852767839286
60,1,9,2016,2016-03-06,26.34089698321429,70.94077587785712
61,1,10,2016,2016-03-13,26.657349439642864,66.29528628910715
62,4,11,2016,2016-03-20,25.22017689392857,76.49918717196431
63,1,12,2016,2016-03-27,25.90962958982141,71.68311837660717
64,10,13,2016,2016-04-03,25.87591399375,70.87097558714284
65,10,14,2016,2016-04-10,24.48740475392857,76.29823293839284
66,4,15,2016,2016-04-17,23.726113208928567,74.01756064660712
67,7,16,2016,2016-04-24,22.69692377017857,77.73699962928572
68,4,17,2016,2016-05-01,22.764106814464288,77.21961452446429
69,7,18,2016,2016-05-08,22.949985769642854,75.172143155
70,3,19,2016,2016-05-15,22.39747409875,77.28477734624998
71,2,20,2016,2016-05-22,21.37707313928571,78.29332565250003
72,0,21,2016,2016-05-29,21.20055907321429,74.54184691821426
73,0,22,2016,2016-06-05,20.83831955375,74.48798906785714
74,0,23,2016,2016-06-12,20.341731345892857,77.226112415
75,0,24,2016,2016-06-19,20.00740233035714,82.81630010624997
76,0,25,2016,2016-06-26,18.782421367678573,79.25792054392858
77,0,26,2016,2016-07-03,19.270160641071428,79.05214263839288
78,0,27,2016,2016-07-10,19.282318842321427,79.69427271375002
79,0,28,2016,2016-07-17,18.62281011964285,82.69865175
80,0,29,2016,2016-07-24,18.97122081607143,82.68616534839286
81,0,30,2016,2016-07-31,18.547450479999988,82.69745919553574
82,0,31,2016,2016-08-07,18.77028580642857,79.59618378107143
83,0,32,2016,2016-08-14,18.689647315178565,74.58000073232144
84,0,33,2016,2016-08-21,18.590222052142856,78.8106661344643
85,0,34,2016,2016-08-28,19.354519802499997,78.94128620999996
86,0,35,2016,2016-09-04,18.81914816589286,76.94360164875003
87,0,36,2016,2016-09-11,19.27308982571429,71.85699280035716
88,0,37,2016,2016-09-18,19.30461944875,78.65195637053577
89,0,38,2016,2016-09-25,19.871618076607138,75.87049902785716
90,0,39,2016,2016-10-02,19.88427845410715,74.97843725642858
91,0,40,2016,2016-10-09,19.740187209464292,77.66339310767857
92,0,41,2016,2016-10-16,20.14860833821428,77.41662300214286
93,0,42,2016,2016-10-23,19.62163209767857,78.1409466457143
94,0,43,2016,2016-10-30,19.215886496071427,78.41256304375001
95,0,44,2016,2016-11-06,19.727239245,78.79519642553569
96,0,45,2016,2016-11-13,20.80420146982143,77.43248184339286
97,0,46,2016,2016-11-20,21.26923359,76.98979344482146
98,0,47,2016,2016-11-27,20.52841246821429,77.6929402051786
99,0,48,2016,2016-12-04,21.349427732857134,76.24440637678572
100,0,49,2016,2016-12-11,22.092427780178575,73.99069240696429
101,0,50,2016,2016-12-18,21.626257379642855,76.48969013267853
102,0,51,2016,2016-12-25,23.06060851875,73.84910151517856
103,0,52,2016,2017-01-01,23.548939791785713,75.56859891767857
104,0,1,2017,2017-01-15,24.402801255714287,70.84861566553572
105,0,2,2017,2017-01-22,24.607738558214287,70.03057694303571
106,0,3,2017,2017-01-29,25.39479987517857,69.54932428321429
107,0,4,2017,2017-02-05,26.080543383035717,73.55524243517857
108,0,5,2017,2017-02-12,26.517788936428566,70.82940015017857
109,0,6,2017,2017-02-19,26.047399279821445,67.34882507178573
110,0,7,2017,2017-02-26,26.42656940482143,59.21831908535713
111,1,8,2017,2017-03-05,26.507149338214283,60.34599292785713
112,3,9,2017,2017-03-12,27.367726262142863,62.66152337035716
113,0,10,2017,2017-03-19,26.96672509625001,65.07889877446429
114,1,11,2017,2017-03-26,27.46689732053571,63.52453374928571
115,16,12,2017,2017-04-02,26.290230372321442,66.49127449785712
116,27,13,2017,2017-04-09,25.164590706964287,69.48520701482141
117,46,14,2017,2017-04-16,24.33611505375,71.0911280769643
118,48,15,2017,2017-04-23,24.314371018214285,73.48808618928572
119,63,16,2017,2017-04-30,24.117852204285718,74.05806239464286
120,29,17,2017,2017-05-07,23.274176999107137,74.50514021482141
121,20,18,2017,2017-05-14,22.402703153035716,77.0231523673214
122,27,19,2017,2017-05-21,23.079078924285717,73.355587465
123,28,20,2017,2017-05-28,21.467864904464285,77.72862318464287
124,19,21,2017,2017-06-04,20.847094618928573,78.74357654107142
125,9,22,2017,2017-06-11,20.266248104821425,81.50060274874998
126,12,23,2017,2017-06-18,19.872450366607136,80.93320646482142
127,2,24,2017,2017-06-25,19.502889684821433,80.11417178071429
128,1,25,2017,2017-07-02,19.919264545178567,77.33195634696429
129,1,26,2017,2017-07-09,19.252383771250006,79.86025095035716
130,0,27,2017,2017-07-16,19.22600302589285,81.34774728696426
131,0,28,2017,2017-07-23,18.646432609107144,82.66274861125
