,Fecha,Temperatura_K,Temperatura_C
0,2016-01-01 00:00:00,300.936441575942,27.786441575942035
1,2016-01-01 03:00:00,298.13625516545204,24.986255165452064
2,2016-01-01 06:00:00,295.93105979384404,22.781059793844065
3,2016-01-01 09:00:00,294.787697486432,21.637697486432046
4,2016-01-01 12:00:00,301.32009252349206,28.170092523492087
5,2016-01-01 15:00:00,322.3580531383161,49.20805313831613
6,2016-01-01 18:00:00,330.2799795876881,57.129979587688126
7,2016-01-01 21:00:00,321.6814429457281,48.531442945728145
8,2016-01-02 00:00:00,300.482227601256,27.332227601256022
9,2016-01-02 03:00:00,298.1677831012561,25.0177831012561
10,2016-01-02 06:00:00,296.6155899086681,23.465589908668107
11,2016-01-02 09:00:00,294.81483903706004,21.664839037060062
12,2016-01-02 12:00:00,303.3557476383161,30.205747638316097
13,2016-01-02 15:00:00,323.9878227395721,50.83782273957212
14,2016-01-02 18:00:00,333.4427378679641,60.29273786796415
15,2016-01-02 21:00:00,323.30755730376814,50.15755730376816
16,2016-01-03 00:00:00,302.0097017802761,28.85970178027611
17,2016-01-03 03:00:00,299.54838231237403,26.398382312374054
18,2016-01-03 06:00:00,297.59246512657006,24.442465126570085
19,2016-01-03 09:00:00,296.104130972864,22.95413097286405
20,2016-01-03 12:00:00,303.96501207412007,30.81501207412009
21,2016-01-03 15:00:00,325.6308069963561,52.48080699635614
22,2016-01-03 18:00:00,335.31118472600417,62.161184726004194
23,2016-01-03 21:00:00,325.16450684082815,52.014506840828176
24,2016-01-04 00:00:00,302.33678521608005,29.186785216080068
25,2016-01-04 03:00:00,299.7422979086681,26.592297908668115
26,2016-01-04 06:00:00,297.07351126174603,23.923511261746057
27,2016-01-04 09:00:00,296.6900056012561,23.540005601256098
28,2016-01-04 12:00:00,304.21206800992405,31.062068009924076
29,2016-01-04 15:00:00,327.2168388543961,54.06683885439611
30,2016-01-04 18:00:00,336.0565207124362,62.90652071243625
31,2016-01-04 21:00:00,324.2296990976122,51.079699097612206
32,2016-01-05 00:00:00,302.03716065188405,28.887160651884074
33,2016-01-05 03:00:00,299.6711799086681,26.521179908668103
34,2016-01-05 06:00:00,297.31408816545206,24.164088165452085
35,2016-01-05 09:00:00,295.50519916545204,22.355199165452063
36,2016-01-05 12:00:00,303.5979836383161,30.447983638316146
37,2016-01-05 15:00:00,325.85150802349216,52.70150802349218
38,2016-01-05 18:00:00,333.6865694963561,60.53656949635615
39,2016-01-05 21:00:00,322.6901521247481,49.54015212474815
40,2016-01-06 00:00:00,301.4885448580401,28.33854485804011
41,2016-01-06 03:00:00,299.49298935804006,26.342989358040086
42,2016-01-06 06:00:00,297.11371272964806,23.96371272964808
43,2016-01-06 09:00:00,295.56227040866804,22.412270408668064
44,2016-01-06 12:00:00,302.9086917025121,29.758691702512124
45,2016-01-06 15:00:00,325.16603117537613,52.016031175376156
46,2016-01-06 18:00:00,333.1672513679642,60.01725136796421
47,2016-01-06 21:00:00,322.40142334265016,49.251423342650185
48,2016-01-07 00:00:00,301.14705972964805,27.997059729648072
49,2016-01-07 03:00:00,298.91440548643203,25.764405486432054
50,2016-01-07 06:00:00,296.97179405062803,23.821794050628057
51,2016-01-07 09:00:00,295.8831135185301,22.733113518530104
52,2016-01-07 12:00:00,303.0564403951001,29.906440395100105
53,2016-01-07 15:00:00,324.09189180376814,50.94189180376816
54,2016-01-07 18:00:00,313.08522928027605,39.935229280276076
55,2016-01-07 21:00:00,311.81462083090406,38.664620830904084
56,2016-01-08 00:00:00,298.87367122964804,25.723671229648062
57,2016-01-08 03:00:00,297.725171665452,24.575171665452046
58,2016-01-08 06:00:00,295.83036703706006,22.68036703706008
59,2016-01-08 09:00:00,294.52040984447206,21.37040984447208
60,2016-01-08 12:00:00,301.0727192667081,27.9227192667081
61,2016-01-08 15:00:00,313.52266245929604,40.372662459296066
62,2016-01-08 18:00:00,319.38388215188405,46.233882151884075
63,2016-01-08 21:00:00,314.1984000741201,41.04840007412014
64,2016-01-09 00:00:00,298.85996229384403,25.709962293844058
65,2016-01-09 03:00:00,297.0688512938441,23.918851293844114
66,2016-01-09 06:00:00,295.41130406915806,22.261304069158086
67,2016-01-09 09:00:00,295.30525728027607,22.15525728027609
68,2016-01-09 12:00:00,301.4105107667081,28.260510766708137
69,2016-01-09 15:00:00,320.5277532395721,47.377753239572144
70,2016-01-09 18:00:00,334.16997853341616,61.01997853341618
71,2016-01-09 21:00:00,323.0963773037681,49.946377303768145
72,2016-01-10 00:00:00,300.7204098444721,27.570409844472124
73,2016-01-10 03:00:00,298.2252297802761,25.075229780276118
74,2016-01-10 06:00:00,296.8197170876881,23.669717087688127
75,2016-01-10 09:00:00,295.56232852349206,22.41232852349208
76,2016-01-10 12:00:00,302.6616938815321,29.511693881532096
77,2016-01-10 15:00:00,325.23973961118014,52.089739611180164
78,2016-01-10 18:00:00,335.75889503341614,62.60889503341616
79,2016-01-10 21:00:00,324.62174079020014,51.47174079020016
80,2016-01-11 00:00:00,301.7953000876881,28.6453000876881
81,2016-01-11 03:00:00,299.29042203706007,26.14042203706009
82,2016-01-11 06:00:00,297.0000619086681,23.850061908668124
83,2016-01-11 09:00:00,295.75231321608004,22.602313216080063
84,2016-01-11 12:00:00,303.49835907412006,30.348359074120083
85,2016-01-11 15:00:00,325.7053244185921,52.555324418592136
86,2016-01-11 18:00:00,335.03588066180816,61.88588066180819
87,2016-01-11 21:00:00,324.8276844185921,51.67768441859215
88,2016-01-12 00:00:00,302.38052295929606,29.23052295929608
