Fecha,temp_mean,hum_mean,temp_max,temp_min,hum_min,hum_max,Semana,Anho,Distrito
2017-11-26,19.29440327365374,74.13662231603985,22.078933229737917,16.307727550103266,58.99154139124702,89.41454955540887,48,2017,LURIGANCHO
2017-12-03,19.9892580276128,72.80148963220269,23.21078779796653,17.489055984269214,56.570616272915096,84.29511645520245,49,2017,LURIGANCHO
2017-12-10,20.188864527188503,73.89602829590373,22.62532909114373,18.0122014888006,59.7527491364575,85.75911890937243,50,2017,LURIGANCHO
2017-12-17,20.56242047941419,75.8056321538097,23.882093013852227,17.795843734269226,59.38670342749807,91.18295800957893,51,2017,LURIGANCHO
2017-12-24,21.313224008902438,75.74400153183436,24.742491434424096,18.782846993331987,61.64458202667208,87.67993364603642,52,2017,LURIGANCHO
2017-12-31,21.241748655570632,76.0832043618033,23.902460607132586,18.99526793202932,61.17303341791906,91.4901653368704,53,2017,LURIGANCHO
2018-01-07,21.952062210792672,74.44539478179338,24.92600092082995,19.38859784114373,59.49359849042109,89.4932369456235,01,2018,LURIGANCHO
2018-01-14,22.03507687218784,77.26314368245293,24.88035956395544,19.88233700932085,60.14591441791914,90.925456618332,02,2018,LURIGANCHO
2018-01-21,22.30666031855521,73.80147269939182,25.624944466143745,19.90761580249796,51.84937294562355,92.99142916416191,03,2018,LURIGANCHO
2018-01-28,22.697561649060365,76.1712051286003,25.59303159114376,20.556685466143733,58.34800060020659,92.5023491193644,04,2018,LURIGANCHO
2018-02-04,22.642771655480495,75.80430583120219,25.91477275718421,20.276091043435255,57.46726320895963,93.05206790082588,05,2018,LURIGANCHO
2018-02-11,23.20936287909348,73.18749145922278,26.79464878676714,20.635312850206446,56.23473569938064,91.70679787312147,06,2018,LURIGANCHO
2018-02-18,23.691330451402926,73.32744267411385,26.416195938955468,21.21245266843522,57.82122363645759,87.50344316416194,07,2018,LURIGANCHO
2018-02-25,23.887563028816817,71.15858089804104,26.472722329944304,21.61429419801823,53.40848420895961,88.46159913645754,08,2018,LURIGANCHO
2018-03-04,23.780184635109013,70.78924815662239,26.80518730942407,20.727763043435232,54.72736707250213,90.94163742749797,09,2018,LURIGANCHO
2018-03-11,23.150722330844165,75.01230548198002,26.14534475932089,20.812315832081023,58.94419824521064,87.21072710978542,10,2018,LURIGANCHO
2018-03-18,23.37288720842302,71.69270506244474,25.877863334475705,21.297589797966623,59.42957369083409,87.31797440082593,11,2018,LURIGANCHO
2018-03-25,22.906098831424405,72.87344660316157,26.22883697306986,20.296099384320883,56.5449245906276,90.45424783687044,12,2018,LURIGANCHO
2018-04-01,22.64096265943495,72.48219684412236,25.516937698018182,20.30048858208096,52.91530222708512,91.27265328249392,13,2018,LURIGANCHO
2018-04-08,22.624981386070804,70.70768194791792,25.33738507301814,20.263166750258108,54.32504169083409,87.08650021853848,14,2018,LURIGANCHO
2018-04-15,22.53480470801383,68.29183250517875,25.530240293435213,20.12702558208105,51.73452629958716,84.74593239124701,15,2018,LURIGANCHO
2018-04-22,21.325172144687496,75.74191567876395,23.99099423426918,19.022612879789506,60.02316777291506,92.22551104686234,16,2018,LURIGANCHO
2018-04-29,21.869450205873104,76.0774461832083,25.568052082080957,19.364399547966627,57.42904284541709,91.62100289124692,17,2018,LURIGANCHO
2018-05-06,20.767827994629986,75.62981600217655,23.187704470675044,18.328349225206463,63.7988804914535,91.62503280061938,18,2018,LURIGANCHO
2018-05-13,20.0559104559507,76.41330951706537,22.89437781156073,17.285729854737838,61.59171706395551,90.9636357462429,19,2018,LURIGANCHO
2018-05-20,19.590129115817657,75.01731757921814,23.062401354737915,16.969263595675102,58.178366682287525,86.21624268228742,20,2018,LURIGANCHO
2018-05-27,19.120056383822806,75.92820452568357,22.0267671092692,16.56043372067512,62.56523159165993,89.20010543707689,21,2018,LURIGANCHO
2018-06-03,18.62834141726219,71.3561031306058,21.806951643383627,16.0305392388006,59.64079054582995,80.9080070277044,22,2018,LURIGANCHO
2018-06-10,18.225482648510344,75.67120485122253,20.61938910473793,16.520229879789497,59.77312137312147,88.06187813748981,23,2018,LURIGANCHO
2018-06-17,17.667525167481887,73.63270838669202,19.90839297973781,15.408637104737808,62.87281117374091,87.82282116416187,24,2018,LURIGANCHO
2018-06-24,17.073512068525535,70.63201979221732,20.010932054634623,14.63713707062351,54.94728993707691,83.62409725582185,25,2018,LURIGANCHO
2018-07-01,17.03351006325668,73.31347029338293,20.525670325154863,14.581685825154864,56.50000966416194,86.29232107353437,26,2018,LURIGANCHO
2018-07-08,17.361415115753136,72.93313565853353,20.54838762739479,14.697025584217611,56.628772782493904,89.17036120999174,27,2018,LURIGANCHO
2018-07-15,17.404640255430174,68.57738883393897,20.31384505010328,15.168559204686233,54.79812709165993,80.18494801061136,28,2018,LURIGANCHO
2018-07-22,16.903785717164684,72.12909425954206,19.58022495468623,13.98439682062343,59.33877512791095,86.8939990458299,29,2018,LURIGANCHO
2018-07-29,16.92721129527586,72.13512748162246,19.67660726598888,14.598704302497936,58.990914673740896,87.62167089124688,30,2018,LURIGANCHO
2018-08-05,16.694949775539182,68.39319244994485,19.363385854737945,14.262173252394746,58.328472218538494,78.88575870144537,31,2018,LURIGANCHO
2018-08-12,16.947245969402726,68.38367261334578,19.626467338749023,14.769552863800584,57.30571136457493,82.8926428187449,32,2018,LURIGANCHO
2018-08-19,16.623098182750972,67.34365528416758,19.73991330916607,14.73576185473786,56.01124760978551,79.36180656395543,33,2018,LURIGANCHO
2018-08-26,16.89317576822896,66.82525281638195,19.486490390988934,14.255779420571857,53.91426890082594,82.22486537312142,34,2018,LURIGANCHO
