Fecha,temp_mean,temp_max,temp_min,temp_sum,Semana,Anho
2016-01-03,23.681875999583337,28.22958023,20.30842761,568.36502399,53,2016
2016-01-10,24.149174707500002,28.47010758,21.15413384,1352.35378362,1,2016
2016-01-17,23.428427616428564,28.40586586,20.41593759,1311.9919465199996,2,2016
2016-01-24,24.10563624214286,29.13991831,21.17302959,1349.9156295600003,3,2016
2016-01-31,25.408907831428568,29.54023314,22.28336766,1422.8988385599998,4,2016
2016-02-07,25.666829206250007,29.57964379,22.92396143,1437.3424355500003,5,2016
2016-02-14,24.980131734107154,29.84944777,22.33912774,1398.8873771100007,6,2016
2016-02-21,25.706668465892857,30.62332081,22.89225277,1439.57343409,7,2016
2016-02-28,27.002506081785718,31.57948382,24.0069758,1512.1403405800002,8,2016
2016-03-06,26.340896983214293,29.56837257,23.44007877,1475.0902310600004,9,2016
2016-03-13,26.657349439642864,30.12286532,24.03844043,1492.8115686200003,10,2016
2016-03-20,25.22017689392857,29.60769631,22.44132949,1412.32990606,11,2016
2016-03-27,25.909629589821414,29.55065281,22.48264871,1450.9392570299992,12,2016
2016-04-03,25.875913993749997,30.386469199999997,23.07303528,1449.0511836499998,13,2016
2016-04-10,24.48740475392857,28.66007722,21.16204431,1371.29466622,14,2016
2016-04-17,23.726113208928563,27.32021357,21.35617668,1328.6623396999996,15,2016
2016-04-24,22.696923770178575,26.77726693,19.91254934,1271.0277311300001,16,2016
2016-05-01,22.764106814464288,27.41524615,20.00207725,1274.78998161,17,2016
2016-05-08,22.949985769642847,27.69605227,19.440541,1285.1992030999995,18,2016
2016-05-15,22.39747409875,26.542015000000003,19.44089594,1254.25854953,19,2016
2016-05-22,21.37707313928571,25.23625647,18.70752119,1197.1160957999998,20,2016
2016-05-29,21.20055907321429,25.83168237,17.567557,1187.2313081000002,21,2016
2016-06-05,20.83831955375,25.78114827,17.04477004,1166.94589501,22,2016
2016-06-12,20.341731345892857,24.865512600000002,16.90290947,1139.13695537,23,2016
2016-06-19,20.00740233035714,25.10762031,16.49178497,1120.4145305,24,2016
2016-06-26,18.782421367678577,23.48529738,15.08636688,1051.8155965900003,25,2016
2016-07-03,19.27016064107143,23.7360965,15.91865294,1079.1289959,26,2016
2016-07-10,19.282318842321423,23.48074247,15.90542985,1079.8098551699998,27,2016
2016-07-17,18.62281011964285,23.21495206,15.34156095,1042.8773666999996,28,2016
2016-07-24,18.97122081607143,23.48184234,15.57009526,1062.3883657000001,29,2016
2016-07-31,18.54745047999999,23.85494531,15.243762699999998,1038.6572268799996,30,2016
2016-08-07,18.770285806428575,23.65140904,15.47724917,1051.1360051600002,31,2016
2016-08-14,18.689647315178572,23.46452707,14.58572511,1046.62024965,32,2016
2016-08-21,18.590222052142856,23.67252834,14.78594189,1041.05243492,33,2016
2016-08-28,19.354519802499993,24.27606462,15.45619992,1083.8531089399996,34,2016
2016-09-04,18.81914816589286,23.95336352,15.23468729,1053.87229729,35,2016
2016-09-11,19.27308982571429,24.974937,14.78628958,1079.2930302400002,36,2016
2016-09-18,19.30461944875,25.13275056,14.6255802,1081.05868913,37,2016
2016-09-25,19.871618076607138,24.24032554,16.34175853,1112.8106122899997,38,2016
2016-10-02,19.88427845410715,25.24854228,15.93692304,1113.5195934300004,39,2016
2016-10-09,19.740187209464292,24.59040415,16.17398442,1105.4504837300003,40,2016
2016-10-16,20.148608338214277,25.16265702,15.40262214,1128.3220669399996,41,2016
2016-10-23,19.62163209767857,24.68034059,15.904887200000001,1098.81139747,42,2016
2016-10-30,19.215886496071427,24.61222347,15.30472154,1076.08964378,43,2016
2016-11-06,19.727239245,25.29550429,15.32450476,1104.72539772,44,2016
2016-11-13,20.80420146982143,25.85044827,16.55875479,1165.03528231,45,2016
2016-11-20,21.269233590000002,26.97210761,16.75813209,1191.0770810400002,46,2016
