<<<<<<< HEAD
fecha,temp_mean,temp_max,temp_min,temp_sum,temp_notnan,temp_wei,Semana,Anho
2016-09-25,19.907860504339183,20.79840546764181,19.0,59.72358151301755,3,19.907860504339183,38,2016
2016-10-02,18.06895273891296,21.0,16.4,2854.8945327482475,158,18.06895273891296,39,2016
2016-10-09,18.06619341326685,21.2,16.4,3035.1204934288307,168,18.06619341326685,40,2016
2016-10-16,18.638690476190472,21.9,16.3,3131.2999999999993,168,18.638690476190472,41,2016
2016-10-23,18.27261904761905,21.6,16.1,3069.8,168,18.27261904761905,42,2016
2016-10-30,18.41785714285714,21.3,16.4,3094.2,168,18.41785714285714,43,2016
2016-11-06,18.566666666666656,22.1,15.8,3119.1999999999985,168,18.566666666666656,44,2016
2016-11-13,19.742905178297548,23.2,16.9,3316.8080699539883,168,19.742905178297548,45,2016
2016-11-20,20.042857142857137,23.2,17.5,3367.199999999999,168,20.042857142857137,46,2016
2016-11-27,20.491666666666667,24.2,18.0,3442.6000000000004,168,20.491666666666667,47,2016
2016-12-04,20.43154761904763,25.0,17.7,3432.500000000002,168,20.43154761904763,48,2016
2016-12-11,20.371797189015087,24.2,17.8,3422.4619277545344,168,20.371797189015087,49,2016
2016-12-18,20.775455784021624,24.9,17.8,3490.2765717156326,168,20.775455784021624,50,2016
2016-12-25,21.86845238095238,25.4,19.3,3673.8999999999996,168,21.86845238095238,51,2016
2017-01-01,22.277851454814737,26.5,19.7,3252.5663124029516,146,22.277851454814737,52,2017
2017-01-08,23.525995139653347,28.130482307128045,20.30952826242726,0.0,0,23.525995139653347,1,2017
2017-01-15,23.70939269726196,28.59312222371797,20.462336674760067,0.0,0,23.70939269726196,2,2017
2017-01-22,23.847930848614812,28.979439648107988,20.582600784684473,0.0,0,23.847930848614812,3,2017
2017-01-29,23.94356947517829,29.291255330446802,20.67155437105454,0.0,0,23.94356947517829,4,2017
2017-02-05,23.99826845841879,29.53039002088316,20.730431212724334,0.0,0,23.99826845841879,5,2017
2017-02-12,24.013987679802703,29.698664469565752,20.760465088547914,0.0,0,24.013987679802703,6,2017
2017-02-19,25.87948007829563,30.2,22.3,3157.2965695520666,122,25.87948007829563,7,2017
2017-02-26,25.903571428571418,30.7,22.2,4351.799999999998,168,25.903571428571418,8,2017
2017-03-05,26.599815654640505,31.0,23.3,4468.769029979605,168,26.599815654640505,9,2017
2017-03-12,26.034323918220544,31.7,22.8,4373.7664182610515,168,26.034323918220544,10,2017
2017-03-19,26.456826252270336,30.8,23.4,4444.746810381416,168,26.456826252270336,11,2017
2017-03-26,25.546582963344992,29.8,22.5,4291.825937841959,168,25.546582963344992,12,2017
2017-04-02,24.599700530634323,29.5,21.3,4132.749689146566,168,24.599700530634323,13,2017
2017-04-09,23.692491725364796,27.9,20.8,3980.3386098612855,168,23.692491725364796,14,2017
2017-04-16,23.455952380952372,27.6,20.6,3940.5999999999985,168,23.455952380952372,15,2017
2017-04-23,23.24226190476191,29.1,20.4,3904.7000000000007,168,23.24226190476191,16,2017
2017-04-30,21.72567252344142,26.0,18.9,3649.9129839381585,168,21.72567252344142,17,2017
2017-05-07,21.558333333333344,26.4,19.3,3621.800000000002,168,21.558333333333344,18,2017
2017-05-14,22.85833333333333,29.5,18.7,3840.2,168,22.85833333333333,19,2017
2017-05-21,20.636309523809523,25.0,18.4,3466.9,168,20.636309523809523,20,2017
2017-05-28,20.09583333333332,23.6,18.3,3376.0999999999976,168,20.09583333333332,21,2017
2017-06-04,19.33392857142857,21.8,17.8,3248.0999999999995,168,19.33392857142857,22,2017
2017-06-11,18.84702380952381,22.1,16.5,3166.3,168,18.84702380952381,23,2017
2017-06-18,18.652976190476192,22.3,16.3,3133.7000000000003,168,18.652976190476192,24,2017
2017-06-25,18.938690476190477,22.3,17.4,3181.7000000000003,168,18.938690476190477,25,2017
2017-07-02,18.469734548470118,20.5,16.9,2253.3076149133544,122,18.469734548470118,26,2017
2017-07-09,18.465861281831533,21.6,17.3,2973.0036663748765,161,18.465861281831533,27,2017
2017-07-16,18.076785714285705,21.2,16.6,3036.8999999999987,168,18.076785714285705,28,2017
2017-07-23,17.545238095238087,20.6,16.0,2947.5999999999985,168,17.545238095238087,29,2017
2017-07-30,17.706547619047615,20.8,16.3,2974.6999999999994,168,17.706547619047615,30,2017
2017-08-06,17.375159299744663,20.6,15.8,2919.0267623571035,168,17.375159299744663,31,2017
2017-08-13,17.162500000000005,20.5,15.3,2883.300000000001,168,17.162500000000005,32,2017
2017-08-20,16.527380952380952,19.6,14.5,2776.6,168,16.527380952380952,33,2017
2017-08-27,16.463376092998434,19.4,14.8,2699.9936792517433,164,16.463376092998434,34,2017
2017-09-03,16.378571428571416,18.9,14.9,2751.599999999998,168,16.378571428571416,35,2017
2017-09-10,16.740429479819813,20.7,15.0,2812.392152609729,168,16.740429479819813,36,2017
2017-09-17,16.194732455468028,19.9,14.7,2720.7150525186285,168,16.194732455468028,37,2017
2017-09-24,16.380357142857143,21.0,14.9,2751.9,168,16.380357142857143,38,2017
2017-10-01,16.628454291053153,20.6,14.8,2710.4380494416637,163,16.628454291053153,39,2017
2017-10-08,17.10773809523809,21.0,15.4,2874.0999999999995,168,17.10773809523809,40,2017
2017-10-15,17.016666666666673,22.4,14.8,2858.800000000001,168,17.016666666666673,41,2017
2017-10-22,17.135714285714286,22.1,15.2,2878.8,168,17.135714285714286,42,2017
2017-10-29,17.48035714285714,22.9,15.6,2936.7,168,17.48035714285714,43,2017
