Fecha,temp_mean,hum_mean,temp_max,temp_min,hum_min,hum_max,Semana,Anho,Distrito
2015-05-17,22.227906310338177,77.54524535279835,26.19905587657007,19.750911248178056,60.005992938440045,98.50361622236018,20,2015,Total
2015-05-24,22.071984039550077,79.67973895738821,27.36626929202208,18.58183972286406,59.02571217537606,97.65739186432012,21,2015,Total
2015-05-31,21.287625511748143,82.30009911513692,25.084626433982063,18.58789506915804,58.23859633090399,99.89223122236012,22,2015,Total
2015-06-07,21.08900668509935,86.87536805025427,25.161629947550068,18.523660594472062,61.52373932361604,101.59809009396824,23,2015,Total
2015-06-14,21.599295901902074,86.11799697826912,25.38446777349208,18.996487248178028,63.524947763064034,103.05418631632826,24,2015,Total
2015-06-21,20.972158714257382,85.85020238788415,24.720175183982064,18.40147570929605,64.94669712110408,99.8089807087922,25,2015,Total
2015-06-28,21.20675567703331,87.65109227679281,25.10866799817802,19.05926745929605,66.3682344520082,101.92628545200826,26,2015,Total
2015-07-05,21.56454947482243,82.90288245605086,25.543327716080057,19.29225952349208,62.71344912110409,103.34203237060024,27,2015,Total
2015-07-12,20.418391114855215,85.01994918065103,24.37884871608003,17.88187733768808,64.00841240502415,101.78542296557625,28,2015,Total
2015-07-19,19.41813866989835,81.88229889069738,23.691480901884063,16.456604408668056,59.05430948643203,99.40752984447217,29,2015,Total
2015-07-26,19.459726892459848,86.35816652211317,23.320492504962036,16.90178316545206,64.61858637788808,101.73865166180826,30,2015,Total
2015-08-02,19.095148539725198,85.83413352003093,22.664687037060048,16.34991585125607,64.86803360753618,100.89593778291224,31,2015,Total
2015-08-09,19.20442404621638,81.56188894811775,23.009932466080045,16.549589972864055,58.05888837788814,100.30284347185624,32,2015,Total
2015-08-16,19.038062676194304,78.07571288608983,23.84071083768805,15.029202344472084,55.24063714824006,98.73755424949616,33,2015,Total
2015-08-23,19.313264909888485,82.04903529278359,23.80636844076605,16.712717869786104,60.91158250628016,99.14145645200816,34,2015,Total
2015-08-30,20.09330231676774,83.53482631129144,24.493438126570027,17.38878540866807,60.81984996557601,100.23533014095224,35,2015,Total
2015-09-06,21.05637090061103,83.88262690335443,25.386630601256115,17.954951254962054,62.48121679020004,101.34698755326424,36,2015,Total
2015-09-13,20.296210938263602,78.72781813710324,25.30772085125608,16.80510397286406,53.19398160753604,95.34587968165616,37,2015,Total
2015-09-20,20.423021308509956,78.55633558509354,25.918644383354035,16.37019711482401,55.83475686432005,100.41026234346424,38,2015,Total
2015-09-27,19.644542095743024,81.90885662403367,24.55399816545201,15.900206729648062,57.79998073592805,99.65184981004816,39,2015,Total
2015-10-04,20.17970833044996,77.51257684053179,24.94335833090406,15.609976204334032,57.67126768894399,97.97539970879215,40,2015,Total
2015-10-11,20.244374354485384,79.5269984626825,24.89444415866808,16.591546947550057,56.75639763467195,96.90997760753612,41,2015,Total
2015-10-18,20.341024000385637,77.01771961209934,25.468879043844083,16.565586954334094,54.25779668894396,96.20875086432018,42,2015,Total
2015-10-25,21.29254923984067,79.61561262501664,26.138349119786085,17.77548640866803,55.54322301984799,99.00681273592808,43,2015,Total
2015-11-01,21.369836848950904,78.82313198310646,26.829240606218093,17.797179754962087,53.85843917537595,99.46108229648009,44,2015,Total
2015-11-08,19.921652375237496,80.09492819156353,24.473847812374004,16.10835160804004,55.32418668894391,101.10715047185622,45,2015,Total
2015-11-15,20.780703008675953,78.90041267713434,26.015374690766063,16.82509022286405,53.97041366180795,100.0540655804002,46,2015,Total
2015-11-22,21.51067371381989,75.7726106853997,26.896775638316058,17.289691825942043,54.29410356055196,98.57263963467209,47,2015,Total
