,Fecha,temp_mean,Humedad,Semana,Anho
0,2015-01-04,22.106585587678385,79.29252938029151,1,2015
1,2015-01-11,22.099501117928785,83.22816739696769,2,2015
2,2015-01-18,23.025592078242397,77.82034332514729,3,2015
3,2015-01-25,22.933088185633085,76.93934866258054,4,2015
4,2015-02-01,23.695014719450636,79.51550195219355,5,2015
5,2015-02-08,24.358948407822165,80.30913639280729,6,2015
6,2015-02-15,25.305053233575897,76.89075506050769,7,2015
7,2015-02-22,25.57038686371649,72.75797142696534,8,2015
8,2015-03-01,25.195263165595374,72.33286169719551,9,2015
9,2015-03-08,24.233289028026977,75.34804549163208,10,2015
10,2015-03-15,24.66240568517551,78.9920759374543,11,2015
11,2015-03-22,26.623858214796662,64.76918448668387,12,2015
12,2015-03-29,26.099479481983018,68.96612393287435,13,2015
13,2015-04-05,24.066686940614467,72.33485708407166,14,2015
14,2015-04-12,24.272188106044325,70.79255388928513,15,2015
15,2015-04-19,23.883205322702374,74.68479733352899,16,2015
16,2015-04-26,22.507904423366504,78.88772549818636,17,2015
17,2015-05-03,23.024510447123646,79.09145980786892,18,2015
18,2015-05-10,23.028687332328712,77.92539851965978,19,2015
19,2015-05-17,22.227906310338177,77.54524535279836,20,2015
20,2015-05-24,22.07198403955008,79.67973895738827,21,2015
21,2015-05-31,21.287625511748157,82.30009911513694,22,2015
22,2015-06-07,21.089006685099353,86.87536805025427,23,2015
23,2015-06-14,21.599295901902074,86.11799697826912,24,2015
24,2015-06-21,20.97215871425737,85.85020238788418,25,2015
25,2015-06-28,21.20675567703332,87.6510922767928,26,2015
26,2015-07-05,21.564549474822424,82.90288245605085,27,2015
27,2015-07-12,20.41839111485522,85.019949180651,28,2015
28,2015-07-19,19.41813866989835,81.8822988906974,29,2015
29,2015-07-26,19.459726892459848,86.35816652211314,30,2015
30,2015-08-02,19.095148539725205,85.83413352003093,31,2015
31,2015-08-09,19.204424046216378,81.56188894811775,32,2015
32,2015-08-16,19.038062676194308,78.07571288608983,33,2015
33,2015-08-23,19.31326490988848,82.04903529278363,34,2015
34,2015-08-30,20.09330231676775,83.53482631129145,35,2015
35,2015-09-06,21.056370900611025,83.88262690335445,36,2015
36,2015-09-13,20.296210938263602,78.72781813710326,37,2015
37,2015-09-20,20.42302130850996,78.55633558509355,38,2015
38,2015-09-27,19.64454209574302,81.90885662403366,39,2015
39,2015-10-04,20.17970833044995,77.51257684053179,40,2015
40,2015-10-11,20.244374354485387,79.52699846268249,41,2015
41,2015-10-18,20.341024000385637,77.01771961209936,42,2015
42,2015-10-25,21.292549239840664,79.61561262501667,43,2015
43,2015-11-01,21.369836848950907,78.82313198310645,44,2015
44,2015-11-08,19.92165237523749,80.09492819156355,45,2015
45,2015-11-15,20.78070300867596,78.90041267713436,46,2015
46,2015-11-22,21.510673713819884,75.77261068539967,47,2015
47,2015-11-29,21.99817397294368,80.23661918678145,48,2015
48,2015-12-06,21.813102629799385,76.70017480500577,49,2015
49,2015-12-13,22.236926842850146,78.41330318637722,50,2015
50,2015-12-20,22.643165821423796,79.18439394638706,51,2015
51,2015-12-27,23.798082980335483,77.72022474887301,52,2015
53,2016-01-10,24.1491747075,77.29862882732142,1,2016
54,2016-01-17,23.428427616428564,80.12166149785716,2,2016
55,2016-01-24,24.105636242142857,77.44335435071426,3,2016
56,2016-01-31,25.40890783142857,71.50456604482143,4,2016
57,2016-02-07,25.66682920625001,73.09799239946432,5,2016
58,2016-02-14,24.980131734107157,78.69233581410712,6,2016
59,2016-02-21,25.706668465892854,78.05926437660716,7,2016
60,2016-02-28,27.002506081785718,68.46852767839286,8,2016
61,2016-03-06,26.34089698321429,70.94077587785712,9,2016
62,2016-03-13,26.657349439642864,66.29528628910715,10,2016
63,2016-03-20,25.22017689392857,76.49918717196431,11,2016
64,2016-03-27,25.90962958982141,71.68311837660717,12,2016
65,2016-04-03,25.87591399375,70.87097558714284,13,2016
66,2016-04-10,24.48740475392857,76.29823293839284,14,2016
67,2016-04-17,23.726113208928567,74.01756064660712,15,2016
68,2016-04-24,22.69692377017857,77.73699962928572,16,2016
69,2016-05-01,22.764106814464288,77.21961452446429,17,2016
70,2016-05-08,22.949985769642854,75.172143155,18,2016
71,2016-05-15,22.39747409875,77.28477734624998,19,2016
72,2016-05-22,21.37707313928571,78.29332565250003,20,2016
73,2016-05-29,21.20055907321429,74.54184691821426,21,2016
74,2016-06-05,20.83831955375,74.48798906785714,22,2016
75,2016-06-12,20.341731345892857,77.226112415,23,2016
76,2016-06-19,20.00740233035714,82.81630010624997,24,2016
77,2016-06-26,18.782421367678573,79.25792054392858,25,2016
78,2016-07-03,19.270160641071428,79.05214263839288,26,2016
79,2016-07-10,19.282318842321427,79.69427271375002,27,2016
80,2016-07-17,18.62281011964285,82.69865175,28,2016
81,2016-07-24,18.97122081607143,82.68616534839286,29,2016
82,2016-07-31,18.547450479999988,82.69745919553574,30,2016
83,2016-08-07,18.77028580642857,79.59618378107143,31,2016
