,Distrito,Mean,Var,ACF1,Seasonality,Trend,Linearity,Curvature,Peak,Entropy,Lumpiness,Lshift,Vchange,Fspots,Cpoints_ts,Cpoints_JV,KlScore,ChangeIdx
28,"UCAYALI, PADRE ABAD, NESHUYA",0.15094428301886725,0.2413667668210333,0.4957734707491193,0.28196137362943197,0.0,0.006783237725861523,-0.5776838026630812,0,0.04720640456979632,0.00015241579027587253,0.0,0.0,47.0,0,0.0,,
29,"MADRE DE DIOS, TAMBOPATA, LAS PIEDRAS",4.698113679245282,65.41829389462471,0.7175946281863018,0.48927230760384743,0.0,0.019793275707884545,-1.2829519166614751,0,0.13182539277942235,0.00076134940724314,0.221875,0.027224392361111113,39.0,1,10.0,,
30,"LORETO, REQUENA, CAPELO",0.03773681132075485,0.03631178212890786,0.508861236802413,-0.002959674435812059,0.22788296041178546,0.005087428294396174,-0.45795658967522057,0,0.040821994520255166,0.0019753086419753104,0.0,0.0,51.0,0,1.0,,
31,"AMAZONAS, CONDORCANQUI, RIO SANTIAGO",0.6981140188679247,4.965467005340132,0.35851149096472623,0.048586123120377044,0.4176013485768828,0.00784311862052701,0.5948945895279732,0,0.1087589896169379,0.0017297763298277703,0.0,0.0,44.0,3,3.0,,
32,"LORETO, PUTUMAYO, PUTUMAYO",0.5094347735849065,1.683872437878405,0.5023417753811935,0.003378674857393597,0.42442378320664864,0.009811468853478101,-0.6529409079670413,0,0.21877893132515702,0.0019433260832677746,0.08571428571428572,0.014739229024943309,31.0,2,4.0,,
33,"LA LIBERTAD, ASCOPE, CHICAMA",0.8490574905660364,8.807403264507057,0.2793117726217409,-0.0843908726224432,0.9263523302569462,0.007631142441593793,-0.15863855720709755,0,0.19748011722479605,0.003218194787379972,0.0,0.0,21.0,6,4.0,,
34,"ICA, NASCA, EL INGENIO",0.01886890566037728,0.018511888928462766,-0.00036982248520711305,-0.0014513788098693774,0.6689075630245426,0.0025437141471980926,-0.2334680653249906,0,0.04000533461369913,0.0,0.0,0.0,52.0,0,0.0,,
35,"LIMA, LIMA, PUENTE PIEDRA",0.16981220754716977,0.29191853114997574,0.2926827726712645,-0.041601472618499766,0.8177426107446605,0.007631142441593761,0.4399975077263037,0,0.1969982712098875,0.0029210486206370984,0.0,0.0,36.0,0,4.0,,
36,"TUMBES, TUMBES, TUMBES",34.094339622641506,568.5382698469207,0.6879580033284987,0.2492342714997064,0.5656463405834551,0.0450802673864522,-0.008879768296477316,0,0.9279867716373464,0.003235846465553089,0.3577777777777777,0.052750342935528105,6.0,8,8.0,,
37,"SAN MARTIN, MARISCAL CACERES, PAJARILLO",1.6037741509433947,12.805266963332425,0.7066802151288478,0.23630016628112513,0.0,0.010295985833896827,-0.7551366361956969,0,0.09097177820572676,0.0010670517752186404,0.07142857142857141,0.0015117157974300808,39.0,1,1.0,,
38,"LORETO, MARISCAL RAMON CASTILLA, PEBAS",0.5660385849056613,5.37771352794601,0.5207494794506433,0.07878164118218677,0.0,0.005450816029710168,-0.4765570674078656,0,0.05041281887392249,0.00039142962551611736,0.04285714285714285,0.0014172335600907027,51.0,1,1.0,,
39,"PIURA, PIURA, LA UNION",0.056604735849056606,0.09113552652193033,-0.02456430347559921,-0.026090801886792463,0.9219875508090875,0.0038155712207969417,-0.05387724584431637,0,0.0842323108193639,0.001975308641975309,0.0,0.0,32.0,0,2.0,,
40,"SAN MARTIN, BELLAVISTA, BAJO BIAVO",0.6415102452830169,3.739408001424155,0.5336977184015588,0.1972348359654543,0.3173804056997801,0.007207190083727792,-0.552990064981566,0,0.10373976976009308,0.0013041016518061273,0.024999999999999998,0.00162037037037037,44.0,2,2.0,,
41,"LA LIBERTAD, TRUJILLO, LA ESPERANZA",0.09434056603773598,0.19864702741194395,-0.019127364878400353,-0.012341921958477041,0.7349253467550978,0.004239523578663389,-0.10775449168893446,0,0.13208144839106278,2.4386526444139604e-05,0.0,0.0,43.0,0,0.0,,
42,"SAN MARTIN, HUALLAGA, EL ESLABON",0.18868013207547105,0.41722999644011566,0.6201592917168136,0.24782664691866835,0.0,0.006359285367995179,-0.5432622289287543,0,0.04633652939584593,0.0016222993827160483,0.0,0.0,47.0,0,1.0,,
43,"PIURA, MORROPON, MORROPON",0.01886890566037736,0.018511888928462797,-0.0003698224852071037,-0.001451378809869373,0.6689075630252714,0.0025437141471979785,0.2334680653242751,0,0.04000533461369913,0.0,0.0,0.0,52.0,0,1.0,,
44,"PIURA, PIURA, TAMBO GRANDE",0.20754799999999984,0.2776785446779617,0.3119328212389518,-0.08222060957910016,0.6327524137567837,0.009326951873059333,-0.1616317375330209,0,0.20754261087173,7.239750038103942e-05,0.0,0.0,16.0,0,0.0,,
45,"CALLAO, CALLAO, VENTANILLA",0.07547264150943407,0.10751142755434316,-0.05501782019681083,0.11851805572910162,0.894398349760835,0.0050874282943959934,-0.3053043931163448,0,0.1361522645296012,0.002345679012345679,0.0,0.0,39.0,0,2.0,,
46,"SAN MARTIN, LAMAS, ZAPATERO",0.2075480188679239,0.2776785368459806,0.8372287426660904,0.40752298016448957,0.0,0.013990427809589331,-1.1448914741875804,0,0.05057559761122276,0.002500000000000001,0.25,0.06944444444444445,45.0,0,1.0,,
47,"CUSCO, LA CONVENCION, SANTA TERESA",0.03773681132075484,0.03631178212890785,0.4888763197586725,-0.02256751757306695,0.7951347731119727,0.005087428294396103,-0.4040793438309777,0,0.0842323108193639,0.006049382716049382,0.0,0.0,48.0,0,2.0,,
48,"LIMA, LIMA, SAN JUAN DE LURIGANCHO",0.03773681132075483,0.036311782128907844,-0.02073906485671194,-0.02256751757306695,0.7579249381158606,0.005087428294396108,-0.40407934383094246,0,0.08415764785384988,0.0019753086419753083,0.0,0.0,45.0,0,2.0,,
49,"AMAZONAS, BONGARA, JAZAN",0.056604716981132126,0.05339967960133503,0.3182051282051281,-0.04452830188679246,0.9541673650888269,0.007631142441593768,0.33224301603795175,0,0.08596514133023365,0.006049382716049383,0.0,0.0,31.0,0,3.0,,
50,"LORETO, ALTO AMAZONAS, TENIENTE CESAR LOPEZ ROJAS",1.0566045471698093,8.12886984976878,0.6354828025684818,0.37230974663733835,0.0,0.008902999515193213,-0.7301489254478106,0,0.05378345282342261,0.00019413700810185186,0.05625,0.003862847222222222,45.0,3,1.0,,
